First author,Org 1,Org 2,Org 3,Org 4,Org 5,Org 6,Org 7,Org 8,Org 9
Wolfe,Washington,,,,,,,,
Chen,Munich,,,,,,,,
Schemmer,Karlsruhe,,,,,,,,
Mackereth,Cambridge,,,,,,,,
Caliskan,Washington,,,,,,,,
Mill,Surrey,,,,,,,,
Barnett,North Western,,,,,,,,
Engelmann,Munich,Lecce,,,,,,,
Cachel,Worcester Polytechnic Institute,,,,,,,,
Adam,MIT,IBM,,,,,,,
Liu,Edinburgh,,,,,,,,
Zhan,King's College London,,,,,,,,
Bertrand,Télécom Paris,,,,,,,,
Butcher,Sussex,Cambridge,CMU,Alan Turing Institute,,,,,
Akpinar,CMU,LinkedIn,,,,,,,
Bessen,Boston,NYU,,,,,,,
Macedo,IBM,Princeton,,,,,,,
Sapiezynski,North Eastern,Upturn,,,,,,,
Colmenarejo,Southampton,Santiago de Compostela,Delft,KU Leuven,SCHUFA,"IIT Kharagpur,",Tuebingen,Klagenfurt,L3S Research Center
Siapka,KU Leuven,,,,,,,,
Narayanan,Washington,Purdue,,,,,,,
Wan,Erasmus,U. Nova de Lisboa,,,,,,,
Dai,Dublin,Teagasc Moorepark,Trinity College Dublin,,,,,,