First author,Perceived origin (accent/name),Org 1,Org 2,Org 3,Org 4
Seymour,UK,Oxford,Kingâ€™s College London,Delft,
Raji,US,Berkeley,,,
Yew,US,MIT,,,
Robertson,Canada,Freiburg,Queen's,,
Kasirzadeh,,Edinburgh,,,
Triantafyllou,Greece,Max Plank,,,
Unruh,Germany,Munich,,,
Clarke,UK,Cambridge,,,
Bucknall,UK,Uppsala,Connecticut,,
Deshpande,India,Oxford,,,
Yik,US,Harvey Mudd College,Biola,,
Zilka,,Cambridge,,,
Simonetto,Italy,Paris,Bologna,,
Winecoff,US,Princeton,,,
Li,,Zurich,,,
McIlroy-Young,US,Toronto,Cornell,Microsoft,
Sabbaghi,,Washington,,,
Shea-Blymyer ,US,Oregon,,,
Evans,Australia,Australian National University,,,
Hullman,India,North Western,Princeton,Columbia,
Balakrishnan,India,Singapore,,,
Sullivan,,Eindhoven,,,
Manerba,Italy,Pisa,,,
Kumar,US,Brown,Artur AI,,
Papakyriakopoulos,Greece,Princeton,,,
Liu,US,North Eastern,North Western,,
Zhang,Japan,Kyushu,,,
Langenkamp,US,MIT,Harvard,,